Municipality,Latitude,Longitude,Height,Intervalo - INMET,ZonaHomogenea
Campina da Lagoa,"-24,57083","-52,80028","598,00",2017 - 2023,7801
Castro,"-24,78000","-50,04639","1.016,00",2007 - 2021,6801
Cidade Gaúcha,"-23,35917","-52,93194","365,79",2009 - 2023,7601
Clevelândia,"-26,41722","-52,34861","966,06",2009 - 2023,6901
Colombo,"-25,32246","-49,15773","950,00",2017 - 2023,6801
Curitiba,"-25,44861","-49,23056","922,91",2007 - 2023,6801
Diamante do Norte,"-22,63944","-52,89028","368,22",2009 - 2023,7501
Dois Vizinhos,"-25,69917","-53,09528","545,95",2008 - 2023,6801
Foz do Iguaçu,"-25,60194","-54,48306","235,09",2009 - 2023,7801
General Carneiro,"-26,39861","-51,35361","1.009,01",2009 - 2023,5901
Goioerê,"-24,18389","-53,04889","481,00",2007 - 2023,7701
Icaraíma,"-23,39028","-53,63583","381,29",2007 - 2023,7601
Inácio Martins,"-25,56788","-51,07795","1.208,85",2007 - 2023,6801
Ivaí,"-25,01083","-50,85389","803,58",2007 - 2023,6801
Japira,"-23,77333","-50,18056","692,88",2009 - 2023,7701
Joaquim Távora,"-23,50528","-49,94639","512,67",2007 - 2023,7701
Laranjeiras do Sul,"-25,37139","-52,40083","889,00",2017 - 2023,6801
Marechal Cândido Rondon,"-24,53333","-54,01917","392,07",2006-2023,7801
Maringá,"-23,40528","-51,93278","548,51",2006 - 2023,7701
Morretes,"-25,50889","-48,80861","50,31",2009-2023,6901
Nova Fátima,"-23,41528","-50,57778","664,31",2008 - 2020,7601
Nova Tebas,"-24,43389","-51,95389","660,00",2007 - 2020,7701
Paranapoema,"-22,65833","-52,13444","308,70",2009-2023,7501
Planalto,"-25,72194","-53,74806","399,10",2007 - 2023,7801
São Mateus do Sul,"-25,83556","-50,36889","780,21",2012 - 2023,6801
Ventania,"-24,28028","-50,21028","1.093,41",2012 - 2020,6701
